Endpoint,readTimestamp,rssi,tagMac
1fc6a334-5acf-11e9-94a9-001d054d25e2,2019-11-07T18-12-11.168-0500,-63,0x5f8d56
1fc6a334-5acf-11e9-94a9-001d054d25e2,2019-11-07T18-12-11.168-0500,-56,0x5f8d4b
1fc6a334-5acf-11e9-94a9-001d054d25e2,2019-11-07T18-12-11.168-0500,-63,0x5f8d9f
1fc6a334-5acf-11e9-94a9-001d054d25e2,2019-11-07T18-12-11.168-0500,-58,0x5f8d51
19243e66-5ace-11e9-8fe2-001d054d25e2,2019-11-07T18-12-11.461-0500,-63,0x5f8da1
19243e66-5ace-11e9-8fe2-001d054d25e2,2019-11-07T18-12-11.461-0500,-62,0x5f8d55
19243e66-5ace-11e9-8fe2-001d054d25e2,2019-11-07T18-12-11.461-0500,-65,0x5f8d56
19243e66-5ace-11e9-8fe2-001d054d25e2,2019-11-07T18-12-11.461-0500,-64,0x5f8d9d
19243e66-5ace-11e9-8fe2-001d054d25e2,2019-11-07T18-12-11.461-0500,-62,0x5f8d51
c1f95698-5ace-11e9-8bfd-001d054d25e2,2019-11-07T18-12-11.852-0500,-65,0x5f8d93
a08d0c0c-f74f-11e9-961f-001d054d25e2,2019-11-07T18-12-11.972-0500,-62,0x5f8d43
a08d0c0c-f74f-11e9-961f-001d054d25e2,2019-11-07T18-12-06.722-0500,-54,0x5f8d98
a08d0c0c-f74f-11e9-961f-001d054d25e2,2019-11-07T18-12-06.722-0500,-61,0x5f8d47
a08d0c0c-f74f-11e9-961f-001d054d25e2,2019-11-07T18-12-06.722-0500,-62,0x5f8da2
a08d0c0c-f74f-11e9-961f-001d054d25e2,2019-11-07T18-12-06.722-0500,-62,0x5f8e56
a08d0c0c-f74f-11e9-961f-001d054d25e2,2019-11-07T18-12-06.722-0500,-61,0x5f8d9a
a08d0c0c-f74f-11e9-961f-001d054d25e2,2019-11-07T18-12-06.722-0500,-63,0x5f8e3a
a08d0c0c-f74f-11e9-961f-001d054d25e2,2019-11-07T18-12-06.722-0500,-55,0x5f8d93
a08d0c0c-f74f-11e9-961f-001d054d25e2,2019-11-07T18-12-06.722-0500,-55,0x5f8d94
a08d0c0c-f74f-11e9-961f-001d054d25e2,2019-11-07T18-12-06.722-0500,-57,0x5f8d9c
a08d0c0c-f74f-11e9-961f-001d054d25e2,2019-11-07T18-12-06.722-0500,-58,0x5f8da5
a08d0c0c-f74f-11e9-961f-001d054d25e2,2019-11-07T18-12-08.472-0500,-61,0x5f8d44
a08d0c0c-f74f-11e9-961f-001d054d25e2,2019-11-07T18-12-08.472-0500,-63,0x5f8d95
a08d0c0c-f74f-11e9-961f-001d054d25e2,2019-11-07T18-12-08.472-0500,-59,0x5f8d99
a08d0c0c-f74f-11e9-961f-001d054d25e2,2019-11-07T18-12-08.472-0500,-59,0x5f8d97
a08d0c0c-f74f-11e9-961f-001d054d25e2,2019-11-07T18-12-08.472-0500,-54,0x5f8da3
a08d0c0c-f74f-11e9-961f-001d054d25e2,2019-11-07T18-12-08.472-0500,-55,0x5f8da4
a08d0c0c-f74f-11e9-961f-001d054d25e2,2019-11-07T18-12-11.972-0500,-60,0x5f8e57
a08d0c0c-f74f-11e9-961f-001d054d25e2,2019-11-07T18-12-08.472-0500,-61,0x5f8e59
b820b292-5ace-11e9-9b03-001d054d25e2,2019-11-07T18-12-12.087-0500,-62,0x5f8d4d
b820b292-5ace-11e9-9b03-001d054d25e2,2019-11-07T18-12-12.087-0500,-61,0x5f8d9e
b820b292-5ace-11e9-9b03-001d054d25e2,2019-11-07T18-12-12.087-0500,-63,0x5f8d52
b820b292-5ace-11e9-9b03-001d054d25e2,2019-11-07T18-12-12.087-0500,-61,0x5f8da1
b820b292-5ace-11e9-9b03-001d054d25e2,2019-11-07T18-12-12.087-0500,-64,0x5f8d4f
b820b292-5ace-11e9-9b03-001d054d25e2,2019-11-07T18-12-12.087-0500,-62,0x5f8d50
b820b292-5ace-11e9-9b03-001d054d25e2,2019-11-07T18-12-12.087-0500,-60,0x5f8d9d
b820b292-5ace-11e9-9b03-001d054d25e2,2019-11-07T18-12-12.087-0500,-64,0x5f8d49
b820b292-5ace-11e9-9b03-001d054d25e2,2019-11-07T18-12-12.087-0500,-63,0x5f8d53
b820b292-5ace-11e9-9b03-001d054d25e2,2019-11-07T18-12-12.087-0500,-62,0x5f8d51
eec50c22-5acd-11e9-ad32-001d054d25e2,2019-11-07T18-12-12.136-0500,-63,0x5f8d4d
eec50c22-5acd-11e9-ad32-001d054d25e2,2019-11-07T18-12-12.136-0500,-61,0x5f8d9e
eec50c22-5acd-11e9-ad32-001d054d25e2,2019-11-07T18-12-12.136-0500,-55,0x5f8d52
eec50c22-5acd-11e9-ad32-001d054d25e2,2019-11-07T18-12-12.136-0500,-55,0x5f8da1
eec50c22-5acd-11e9-ad32-001d054d25e2,2019-11-07T18-12-12.136-0500,-60,0x5f8d55
eec50c22-5acd-11e9-ad32-001d054d25e2,2019-11-07T18-12-12.136-0500,-63,0x5f8d56
eec50c22-5acd-11e9-ad32-001d054d25e2,2019-11-07T18-12-12.136-0500,-55,0x5f8d50
eec50c22-5acd-11e9-ad32-001d054d25e2,2019-11-07T18-12-12.136-0500,-61,0x5f8d9d
eec50c22-5acd-11e9-ad32-001d054d25e2,2019-11-07T18-12-12.136-0500,-62,0x5f8d49
